,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49
T29,633,0,98,18,38,52,78,18,0,104,33,0,80,1200,159,37,44,59,101,74,0,72,0,23,0,45,20,88,0,0,58,37,34,21,34,0,17,115,115,16,21,201,135,19,0,71,18,579,0,158
T30,1409,0,247,0,0,0,524,0,0,62,1093,0,84,1590,642,0,43,44,389,50,0,345,116,43,0,0,1172,334,268,0,0,105,0,58,0,904,144,151,52,0,0,381,716,0,0,165,0,3266,465,287
T31,116,0,1143,56,0,65,216,107,0,52,0,50,0,6600,231,386,69,343,53,0,0,0,0,279,70,0,0,55,0,0,63,0,0,0,263,0,0,0,340,0,0,61,0,0,0,52,0,5240,51,694
T32,301,18,154,0,17,136,89,17,88,0,40,18,81,1066,93,56,49,25,0,125,16,220,46,32,0,0,16,280,0,34,50,70,0,17,119,0,17,198,132,16,20,186,145,0,22,70,35,220,35,209
T33,346,58,136,35,22,0,85,46,0,0,342,25,182,487,334,0,0,0,521,76,0,144,23,0,0,0,0,237,22,0,289,31,0,0,0,0,0,0,24,25,108,703,1021,49,0,135,0,398,0,193
T34,157,0,220,26,0,67,114,0,0,0,188,0,33,2438,92,248,212,259,41,0,85,60,0,161,0,32,0,180,0,0,65,628,70,0,0,0,0,30,150,410,120,287,228,40,63,133,0,1500,0,541
T35,162,0,341,21,114,0,77,0,0,0,661,0,21,2073,85,231,36,199,57,44,0,222,0,121,0,26,736,243,0,0,956,149,0,0,22,0,25,78,226,0,66,240,155,0,45,26,0,414,206,181
T36,452,0,0,0,18,0,94,0,20,317,354,0,17,537,90,17,36,0,0,37,22,73,16,0,0,53,0,417,181,17,296,0,17,35,17,25,0,0,92,0,0,72,270,18,0,90,18,1141,0,339
T37,725,0,57,0,0,0,116,0,0,27,0,0,36,2994,147,38,60,56,29,41,0,260,0,118,0,0,0,328,0,28,184,380,94,0,30,54,0,0,237,31,0,224,56,0,0,99,0,2306,0,285
T38,319,0,508,33,0,28,160,0,0,191,308,43,123,2365,98,293,110,168,125,30,40,66,50,349,44,34,0,362,0,30,91,907,44,0,97,153,73,186,0,32,0,468,278,0,31,0,0,1095,33,299
T39,301,0,69,209,0,22,210,47,40,0,140,0,38,1702,176,42,21,26,122,0,0,205,0,41,0,36,0,186,0,0,101,299,0,46,480,0,0,76,127,0,0,202,86,25,20,111,0,1021,46,56
T40,256,0,323,20,17,0,56,55,0,35,100,32,75,682,114,27,0,59,114,51,0,203,74,38,16,81,0,207,0,37,55,0,20,189,183,84,14,37,32,0,0,122,180,120,0,16,24,357,0,58
T41,1245,0,502,0,0,160,89,79,0,0,530,0,256,2047,536,330,227,255,511,163,0,176,89,166,76,0,0,380,0,145,459,306,0,255,107,182,0,81,265,88,0,0,1025,103,46,248,0,1187,51,375
T42,515,58,303,0,0,0,182,0,0,88,1541,40,227,1619,311,0,162,48,414,99,0,40,51,0,0,40,0,584,132,0,881,46,0,209,105,0,0,0,158,38,0,988,0,0,0,270,0,1852,0,1152
T43,112,18,238,51,54,21,65,33,229,18,74,18,42,845,37,36,45,198,23,57,0,81,59,77,18,146,17,122,177,19,58,92,0,82,74,17,18,61,39,41,120,212,235,0,0,168,17,590,0,122
T44,250,0,185,17,0,0,37,0,0,50,66,110,18,1944,83,265,56,72,17,97,102,56,46,57,22,30,58,216,0,0,52,255,22,0,63,45,0,20,143,20,0,189,37,0,0,20,0,363,0,135
T45,344,0,654,36,35,80,102,0,0,49,75,0,85,2214,265,295,248,211,202,47,0,170,0,0,0,0,0,131,0,37,281,309,35,42,75,0,55,35,0,61,0,319,447,35,0,0,72,2581,41,410
T46,95,17,84,0,36,18,158,0,18,22,155,48,141,830,69,19,17,33,99,51,0,202,17,55,0,0,0,71,0,18,48,115,35,61,67,0,18,32,34,29,24,211,141,17,0,139,0,415,0,101
T47,3131,0,394,0,0,237,1776,0,0,399,265,0,220,13205,1410,191,0,170,365,84,0,0,0,849,0,0,0,400,486,0,2006,2097,0,0,359,0,0,867,93,0,0,372,657,0,0,191,0,0,359,2008
T48,275,0,193,25,0,143,128,0,0,0,105,0,47,1364,170,109,23,117,102,40,0,85,19,243,0,25,300,122,0,0,558,466,0,0,49,225,0,60,55,46,0,238,179,0,0,90,0,1817,0,152
T49,337,0,398,37,0,84,223,50,46,213,738,122,133,1377,167,252,208,94,170,41,43,0,37,399,0,167,0,560,0,0,405,887,82,41,449,73,43,141,210,0,0,411,1262,0,0,376,0,2799,128,0
